id,name,ip,user
10a56af1-2be3-4381-927f-4d7b1e02c001,WS-FIN-01,10.20.10.21,a.petrov
10a56af1-2be3-4381-927f-4d7b1e02c002,WS-FIN-02,10.20.10.22,n.sokolova
10a56af1-2be3-4381-927f-4d7b1e02c003,WS-HR-01,10.20.11.31,m.ivanova
10a56af1-2be3-4381-927f-4d7b1e02c004,WS-HR-02,10.20.11.32,d.kuznetsov
10a56af1-2be3-4381-927f-4d7b1e02c005,WS-OPS-01,10.20.12.41,v.smirnov
10a56af1-2be3-4381-927f-4d7b1e02c006,WS-OPS-02,10.20.12.42,o.popova
10a56af1-2be3-4381-927f-4d7b1e02c007,WS-ENG-01,10.20.13.51,i.volkov
10a56af1-2be3-4381-927f-4d7b1e02c008,WS-ENG-02,10.20.13.52,e.morozova
10a56af1-2be3-4381-927f-4d7b1e02c009,WS-SALES-01,10.20.14.61,p.fedorov
10a56af1-2be3-4381-927f-4d7b1e02c010,WS-SALES-02,10.20.14.62,k.orlova
10a56af1-2be3-4381-927f-4d7b1e02c011,WS-IT-01,10.20.15.71,s.belov
10a56af1-2be3-4381-927f-4d7b1e02c012,WS-IT-02,10.20.15.72,l.nikitina
10a56af1-2be3-4381-927f-4d7b1e02c013,WS-FIN-03,10.20.10.103,user13
10a56af1-2be3-4381-927f-4d7b1e02c014,WS-FIN-04,10.20.10.104,user14
10a56af1-2be3-4381-927f-4d7b1e02c015,WS-FIN-05,10.20.10.105,user15
10a56af1-2be3-4381-927f-4d7b1e02c016,WS-FIN-06,10.20.10.106,user16
10a56af1-2be3-4381-927f-4d7b1e02c017,WS-FIN-07,10.20.10.107,user17
10a56af1-2be3-4381-927f-4d7b1e02c018,WS-FIN-08,10.20.10.108,user18
10a56af1-2be3-4381-927f-4d7b1e02c019,WS-HR-03,10.20.11.103,user19
10a56af1-2be3-4381-927f-4d7b1e02c020,WS-HR-04,10.20.11.104,user20
10a56af1-2be3-4381-927f-4d7b1e02c021,WS-HR-05,10.20.11.105,user21
10a56af1-2be3-4381-927f-4d7b1e02c022,WS-HR-06,10.20.11.106,user22
10a56af1-2be3-4381-927f-4d7b1e02c023,WS-HR-07,10.20.11.107,user23
10a56af1-2be3-4381-927f-4d7b1e02c024,WS-HR-08,10.20.11.108,user24
10a56af1-2be3-4381-927f-4d7b1e02c025,WS-OPS-03,10.20.12.103,user25
10a56af1-2be3-4381-927f-4d7b1e02c026,WS-OPS-04,10.20.12.104,user26
10a56af1-2be3-4381-927f-4d7b1e02c027,WS-OPS-05,10.20.12.105,user27
10a56af1-2be3-4381-927f-4d7b1e02c028,WS-OPS-06,10.20.12.106,user28
10a56af1-2be3-4381-927f-4d7b1e02c029,WS-OPS-07,10.20.12.107,user29
10a56af1-2be3-4381-927f-4d7b1e02c030,WS-OPS-08,10.20.12.108,user30
10a56af1-2be3-4381-927f-4d7b1e02c031,WS-ENG-03,10.20.13.103,user31
10a56af1-2be3-4381-927f-4d7b1e02c032,WS-ENG-04,10.20.13.104,user32
10a56af1-2be3-4381-927f-4d7b1e02c033,WS-ENG-05,10.20.13.105,user33
10a56af1-2be3-4381-927f-4d7b1e02c034,WS-ENG-06,10.20.13.106,user34
10a56af1-2be3-4381-927f-4d7b1e02c035,WS-ENG-07,10.20.13.107,user35
10a56af1-2be3-4381-927f-4d7b1e02c036,WS-ENG-08,10.20.13.108,user36
10a56af1-2be3-4381-927f-4d7b1e02c037,WS-SALES-03,10.20.14.103,user37
10a56af1-2be3-4381-927f-4d7b1e02c038,WS-SALES-04,10.20.14.104,user38
10a56af1-2be3-4381-927f-4d7b1e02c039,WS-SALES-05,10.20.14.105,user39
10a56af1-2be3-4381-927f-4d7b1e02c040,WS-SALES-06,10.20.14.106,user40
10a56af1-2be3-4381-927f-4d7b1e02c041,WS-SALES-07,10.20.14.107,user41
10a56af1-2be3-4381-927f-4d7b1e02c042,WS-SALES-08,10.20.14.108,user42
10a56af1-2be3-4381-927f-4d7b1e02c043,WS-IT-03,10.20.15.103,user43
10a56af1-2be3-4381-927f-4d7b1e02c044,WS-IT-04,10.20.15.104,user44
10a56af1-2be3-4381-927f-4d7b1e02c045,WS-IT-05,10.20.15.105,user45
10a56af1-2be3-4381-927f-4d7b1e02c046,WS-IT-06,10.20.15.106,user46
10a56af1-2be3-4381-927f-4d7b1e02c047,WS-IT-07,10.20.15.107,user47
10a56af1-2be3-4381-927f-4d7b1e02c048,WS-IT-08,10.20.15.108,user48
