email,display_name,unique_id,type
deploy-sa@acme-prod-001.iam.gserviceaccount.com,Deployment Service Account,100000000000000001,service_account
gke-node-sa@acme-prod-001.iam.gserviceaccount.com,GKE Node Service Account,100000000000000002,service_account
dataflow-sa@acme-prod-001.iam.gserviceaccount.com,Dataflow Service Account,100000000000000003,service_account
bigquery-sa@acme-prod-001.iam.gserviceaccount.com,BigQuery Service Account,100000000000000004,service_account
cloudbuild-sa@acme-prod-001.iam.gserviceaccount.com,Cloud Build Service Account,100000000000000005,service_account
terraform-sa@acme-staging-002.iam.gserviceaccount.com,Terraform Service Account,100000000000000006,service_account
monitoring-sa@acme-prod-001.iam.gserviceaccount.com,Monitoring Service Account,100000000000000007,service_account
backup-sa@acme-prod-001.iam.gserviceaccount.com,Backup Service Account,100000000000000008,service_account
ci-runner-sa@acme-staging-002.iam.gserviceaccount.com,CI Runner Service Account,100000000000000009,service_account
artifact-sa@acme-prod-001.iam.gserviceaccount.com,Artifact Registry SA,100000000000000010,service_account
