id,name,ip,user
448b03b8-02ec-4834-bb70-d28f23cc5c91,ws-fin-01,10.20.1.21,EXAMPLE\fin01
07d5808f-3779-413c-b62c-d6bca8a5b11b,ws-fin-02,10.20.1.22,EXAMPLE\fin02
368c35eb-02b0-43c1-b3c2-e4adcc6fb7c8,ws-fin-03,10.20.1.23,EXAMPLE\fin03
b7e0c342-9393-4ae6-8667-58f1f461fd15,ws-fin-04,10.20.1.24,EXAMPLE\fin04
6aff9916-3d72-4845-a866-729d344833b3,ws-fin-05,10.20.1.25,EXAMPLE\fin05
ceae7e83-c9f6-4806-b1bc-e0718a67e6c6,ws-fin-06,10.20.1.26,EXAMPLE\fin06
9640dc0e-fddd-4353-ab20-95dd78d557b1,ws-fin-07,10.20.1.27,EXAMPLE\fin07
15e5f934-625c-4ad3-accf-2cb8fb2ee78d,ws-fin-08,10.20.1.28,EXAMPLE\fin08
c39dd932-c137-40b2-aa67-7f0ff224cc25,ws-ops-01,10.20.1.31,EXAMPLE\ops01
ef8b04f1-bd0a-45f9-b9b0-4b6382e57845,ws-ops-02,10.20.1.32,EXAMPLE\ops02
51770f23-14ae-4775-b8a6-3c58ec0623f6,ws-ops-03,10.20.1.33,EXAMPLE\ops03
840bd519-da79-4839-bf88-89cc853e3baf,ws-ops-04,10.20.1.34,EXAMPLE\ops04
9e03927b-0c2e-4e76-9c5a-3bc8314daeb6,ws-ops-05,10.20.1.35,EXAMPLE\ops05
f2160563-d4e2-43e1-9884-6d1fa70241b9,ws-ops-06,10.20.1.36,EXAMPLE\ops06
4681650c-c48c-4758-8e07-bead9f0878b8,ws-ops-07,10.20.1.37,EXAMPLE\ops07
5ddb24a5-f61a-48dc-9ddb-2b356b3db275,ws-ops-08,10.20.1.38,EXAMPLE\ops08
e88ea65e-c3ba-4df7-83ad-d96c51022096,ws-sales-01,10.20.1.41,EXAMPLE\sales01
3734063f-c687-4ee8-afa2-e23ff0ef31f7,ws-sales-02,10.20.1.42,EXAMPLE\sales02
bf0b5121-8bc7-472e-be05-b6f108365bde,ws-sales-03,10.20.1.43,EXAMPLE\sales03
b318cf74-6ec5-4815-95af-f2916fcbe3eb,ws-sales-04,10.20.1.44,EXAMPLE\sales04
53e9506a-0621-4260-889d-9ba7c677c480,ws-sales-05,10.20.1.45,EXAMPLE\sales05
bafd05a8-da6c-426d-b672-969c95a376a8,ws-sales-06,10.20.1.46,EXAMPLE\sales06
6946fa37-1f63-4be7-a6b8-ce137d9d3608,ws-sales-07,10.20.1.47,EXAMPLE\sales07
51322fc8-498e-4d32-beaf-0b2eec141d2d,ws-sales-08,10.20.1.48,EXAMPLE\sales08
04cf6c16-d9c4-474b-99ae-32aca95fda6e,ws-hr-01,10.20.1.51,EXAMPLE\hr01
3208a9da-104c-41da-b4d6-42edd2f7ae1f,ws-hr-02,10.20.1.52,EXAMPLE\hr02
e7b8cf9b-ade2-487e-966a-03417c7e3c30,ws-hr-03,10.20.1.53,EXAMPLE\hr03
63597bd7-eef7-4f2f-8314-768f61d99c14,ws-hr-04,10.20.1.54,EXAMPLE\hr04
b28cb67d-bfdc-4349-9166-7b4f8faa8be5,ws-hr-05,10.20.1.55,EXAMPLE\hr05
b057fb29-2a19-42bb-81be-c40fe705a36c,ws-hr-06,10.20.1.56,EXAMPLE\hr06
ceaf535f-9788-4dc2-ab65-ef20909e6fad,ws-hr-07,10.20.1.57,EXAMPLE\hr07
726b70c5-bef7-4bfd-a259-ad9b690ec07c,ws-hr-08,10.20.1.58,EXAMPLE\hr08
4c131d30-b59e-48f9-8d2a-3f3206b6e4a5,ws-dev-01,10.20.1.61,EXAMPLE\dev01
42b1b21d-ac2f-4d73-8577-ae9155d3d1d4,ws-dev-02,10.20.1.62,EXAMPLE\dev02
edb0d239-3061-4ba5-a149-1307e5ff1ced,ws-dev-03,10.20.1.63,EXAMPLE\dev03
c3a5ba0a-44a9-4eb6-8965-a092727fa40e,ws-dev-04,10.20.1.64,EXAMPLE\dev04
79b06ad2-9e94-42a7-855d-4e05dd18a9cc,ws-dev-05,10.20.1.65,EXAMPLE\dev05
c73dbb18-5cd7-4bf2-afc2-b4183e5945bb,ws-dev-06,10.20.1.66,EXAMPLE\dev06
b67bdb82-7825-44dd-abe0-815f78852436,ws-dev-07,10.20.1.67,EXAMPLE\dev07
4fa24428-f1b0-42e1-b530-c54f427c22eb,ws-dev-08,10.20.1.68,EXAMPLE\dev08
144108b9-e151-4f86-9c8b-0b6230058a9b,ws-it-01,10.20.1.71,EXAMPLE\it01
3659c711-c641-4ec1-9f4d-adde1c01d324,ws-it-02,10.20.1.72,EXAMPLE\it02
5168cc4a-da56-4aa6-98dc-5b512156c71b,ws-it-03,10.20.1.73,EXAMPLE\it03
3c3debb5-43b9-4a7d-b338-ed82183c0a1a,ws-it-04,10.20.1.74,EXAMPLE\it04
4912000b-c52d-41bd-bf96-38daa59223cb,ws-it-05,10.20.1.75,EXAMPLE\it05
186625a5-260b-4860-970c-e0242f9e15b0,ws-it-06,10.20.1.76,EXAMPLE\it06
c50b785f-b081-44b5-909e-19801e2cc269,ws-it-07,10.20.1.77,EXAMPLE\it07
89d9eb7b-f6a5-44ec-a1c5-b4099f9ffb44,ws-it-08,10.20.1.78,EXAMPLE\it08
